t_wall_s,step,obs_id,x_m,y_m,vx_mps,vy_mps,speed_mps,course_deg,radius_m
6.114,54,2,580.540,113.480,0.100,6.200,6.201,89.076,16.000
6.114,54,3,499.460,888.680,-0.100,-5.800,5.801,269.012,16.000
6.215,55,0,111.900,200.550,5.800,0.100,5.801,0.988,16.000
6.215,55,1,916.900,269.450,-4.200,-0.100,4.201,181.364,14.000
6.215,55,2,580.550,114.100,0.100,6.200,6.201,89.076,16.000
6.215,55,3,499.450,888.100,-0.100,-5.800,5.801,269.012,16.000
6.317,56,0,112.480,200.560,5.800,0.100,5.801,0.988,16.000
6.317,56,1,916.480,269.440,-4.200,-0.100,4.201,181.364,14.000
6.317,56,2,580.560,114.720,0.100,6.200,6.201,89.076,16.000
6.317,56,3,499.440,887.520,-0.100,-5.800,5.801,269.012,16.000
6.417,57,0,113.060,200.570,5.800,0.100,5.801,0.988,16.000
6.417,57,1,916.060,269.430,-4.200,-0.100,4.201,181.364,14.000
6.417,57,2,580.570,115.340,0.100,6.200,6.201,89.076,16.000
6.417,57,3,499.430,886.940,-0.100,-5.800,5.801,269.012,16.000
6.518,58,0,113.640,200.580,5.800,0.100,5.801,0.988,16.000
6.518,58,1,915.640,269.420,-4.200,-0.100,4.201,181.364,14.000
6.518,58,2,580.580,115.960,0.100,6.200,6.201,89.076,16.000
6.518,58,3,499.420,886.360,-0.100,-5.800,5.801,269.012,16.000
6.619,59,0,114.220,200.590,5.800,0.100,5.801,0.988,16.000
6.619,59,1,915.220,269.410,-4.200,-0.100,4.201,181.364,14.000
6.619,59,2,580.590,116.580,0.100,6.200,6.201,89.076,16.000
6.619,59,3,499.410,885.780,-0.100,-5.800,5.801,269.012,16.000
6.720,60,0,114.800,200.600,5.800,0.100,5.801,0.988,16.000
6.720,60,1,914.800,269.400,-4.200,-0.100,4.201,181.364,14.000
6.720,60,2,580.600,117.200,0.100,6.200,6.201,89.076,16.000
6.720,60,3,499.400,885.200,-0.100,-5.800,5.801,269.012,16.000
6.821,61,0,115.380,200.610,5.800,0.100,5.801,0.988,16.000
6.821,61,1,914.380,269.390,-4.200,-0.100,4.201,181.364,14.000
6.821,61,2,580.610,117.820,0.100,6.200,6.201,89.076,16.000
6.821,61,3,499.390,884.620,-0.100,-5.800,5.801,269.012,16.000
6.922,62,0,115.960,200.620,5.800,0.100,5.801,0.988,16.000
6.922,62,1,913.960,269.380,-4.200,-0.100,4.201,181.364,14.000
6.922,62,2,580.620,118.440,0.100,6.200,6.201,89.076,16.000
6.922,62,3,499.380,884.040,-0.100,-5.800,5.801,269.012,16.000
7.023,63,0,116.540,200.630,5.800,0.100,5.801,0.988,16.000
7.023,63,1,913.540,269.370,-4.200,-0.100,4.201,181.364,14.000
7.023,63,2,580.630,119.060,0.100,6.200,6.201,89.076,16.000
7.023,63,3,499.370,883.460,-0.100,-5.800,5.801,269.012,16.000
7.124,64,0,117.120,200.640,5.800,0.100,5.801,0.988,16.000
7.124,64,1,913.120,269.360,-4.200,-0.100,4.201,181.364,14.000
7.124,64,2,580.640,119.680,0.100,6.200,6.201,89.076,16.000
7.124,64,3,499.360,882.880,-0.100,-5.800,5.801,269.012,16.000
7.225,65,0,117.700,200.650,5.800,0.100,5.801,0.988,16.000
7.225,65,1,912.700,269.350,-4.200,-0.100,4.201,181.364,14.000
7.225,65,2,580.650,120.300,0.100,6.200,6.201,89.076,16.000
7.225,65,3,499.350,882.300,-0.100,-5.800,5.801,269.012,16.000
7.326,66,0,118.280,200.660,5.800,0.100,5.801,0.988,16.000
7.326,66,1,912.280,269.340,-4.200,-0.100,4.201,181.364,14.000
7.326,66,2,580.660,120.920,0.100,6.200,6.201,89.076,16.000
7.326,66,3,499.340,881.720,-0.100,-5.800,5.801,269.012,16.000
7.427,67,0,118.860,200.670,5.800,0.100,5.801,0.988,16.000
7.427,67,1,911.860,269.330,-4.200,-0.100,4.201,181.364,14.000
7.427,67,2,580.670,121.540,0.100,6.200,6.201,89.076,16.000
7.427,67,3,499.330,881.140,-0.100,-5.800,5.801,269.012,16.000
7.528,68,0,119.440,200.680,5.800,0.100,5.801,0.988,16.000
7.528,68,1,911.440,269.320,-4.200,-0.100,4.201,181.364,14.000
7.528,68,2,580.680,122.160,0.100,6.200,6.201,89.076,16.000
7.528,68,3,499.320,880.560,-0.100,-5.800,5.801,269.012,16.000
7.629,69,0,120.020,200.690,5.800,0.100,5.801,0.988,16.000
7.629,69,1,911.020,269.310,-4.200,-0.100,4.201,181.364,14.000
7.629,69,2,580.690,122.780,0.100,6.200,6.201,89.076,16.000
7.629,69,3,499.310,879.980,-0.100,-5.800,5.801,269.012,16.000
7.730,70,0,120.600,200.700,5.800,0.100,5.801,0.988,16.000
7.730,70,1,910.600,269.300,-4.200,-0.100,4.201,181.364,14.000
